ID,Timestamp (DD/MM/YY H:M:S),Tweet URL,Group,Collector,Category,Topic,Keywords,Account Handle,Account Name,Account Bio,Account Type,Joined (MM/YYYY),Following,Followers,Location,Tweet,Tweet Translated,Tweet Type,Date Posted (DD/MM/YY H:M:S),Screenshot,Content Type,Likes,Replies,Retweets,Quote Tweets,Views,Rating,Reasoning,Remarks,"No. of Days since Philippines Joined the COVAX Facility (Jul 24, 2020)","No. of Days since FDA Approved the First COVID-19 Vaccine (Dec 11, 2020)","No. of Days since Arrival of First Batch of COVID-19 Vaccine Doses Committed by the COVAX Facility (Mar 04, 2021)","No. of Days since First Detected Cases of Omicron Variant in the Philippines (Aug 02, 2022)",Mentioned or Referenced COVID-19 Vaccine Brand,Mentioned or Referenced Other Vaccine/Drugs,Peddled Medical Adverse Side Effect,Distrust in Vaccine Development,"Racial, Religious, Cultural, Economic, or Socio-Political Keywords",Oppressive Keywords,Reviewer,Review
27-49,30/03/2023 20:12:05,https://twitter.com/retromaldita/status/1484181357459021826?s=20,27,"Inukai, Masayuki",HLTH,"COVID-19 vaccines are not effective, can cause infections and/or death","COVID, ineffective, bakuna","@retromaldita","Donna | A beautiful world is at arm’s length","Why are you in prison when the door is so wide open?
",Identified,03/2011,337,326,Philippines,"Ano kaya minamadali nila? May hinahabol ba na quota? Kasi sa totoo lang kahit tatlong doses ineffective pa rin ang Covid bakuna (may mga na disable pa at namatay). Libre na nga, pinipilit pa sa mga tao. Hayagang pinupuwersa. Kasi kung hindi pilitin, walang magpapaloko sa mga ito.","Why are they in such a hurry? Is there a quota being chased? Because in truth, even three doses of the Covid vaccine are still ineffective (some have even been disabled and died). It's free, it's still being forced on people. Overtly forced. Because if not forced, no one will fool them.",Reply,20/01/2022 23:09:00,,"Rational, Emotional",1,0,0,,,FALSE,"Despite varying efficacy rates, all COVID-19 vaccine, in essence, are effective and will protect people against the virus. Hence, it's wrong to claim that vaccines are ineffective.

[https://www.rappler.com/newsbreak/iq/list-myths-covid-19-vaccines-debunked/]",,545,405,322,-194,None,None,INEFFICIENCY,YES; Other Conspiracy,None,None,,
27-50,30/12/1899 20:50:29,https://twitter.com/retromaldita/status/1484082883065122816?s=20,27,"Inukai, Masayuki",HLTH,"COVID-19 vaccines are not effective, can cause infections and/or death","COVID, infected, vaccinated","@retromaldita","Donna | A beautiful world is at arm’s length","Why are you in prison when the door is so wide open?
",Identified,03/2011,337,326,Philippines,"But even vaccinated people get infected, infect others, get critically I’ll or die from CoVid. 3 shots don’t work. How does that protect the vaccine-free?",,Reply,20/01/2022 16:38:00,,"Rational, Emotional",1,2,0,,,INACCURATE,"Being fully-vaccinated doesn't mean you'll no longer get the virus. In fact, it is still possible for you to get positive although you'll only experience mild symptoms. Hence, the tweet is false by claiming that vaccines are ineffective.

[https://www.houstonmethodist.org/blog/articles/2021/aug/5-things-vaccinated-people-need-to-know-about-breakthrough-infection/#:~:text=In%20most%20cases%2C%20fully%20vaccinated,or%20experience%20only%20mild%20symptoms.]",,545,405,322,-194,None,None,"INEFFICIENCY, DEATH",YES; Vaccine Trials,None,None,,
27-51,30/03/2023 21:13:06,https://twitter.com/retromaldita/status/1479315225665216512?s=20,27,"Inukai, Masayuki",HLTH,"COVID-19 vaccines are not effective, can cause infections and/or death","COVID, infected, vaccinated","@retromaldita","Donna | A beautiful world is at arm’s length","Why are you in prison when the door is so wide open?
",Identified,03/2011,337,326,Philippines,"Bakit? If both vaccinated & unvaccinated get infected & spread infection, ano’ng silbi ng pag require ng vaccine cards? Lalo na kung mga bakunado ay na-o-ospital at namamatay sa Covid? #masspsychosis #MassPsychosisFormation","Why? If both vaccinated & unvaccinated get infected & spread infection, what's the point of requiring vaccine cards? Especially if vaccinated people are hospitalized and dying of Covid? #masspsychosis #MassPsychosisFormation",Reply,07/01/2022 12:53:00,,"Rational, Emotional",0,0,0,,,MISLEADING,"Being fully-vaccinated doesn't mean you'll no longer get the virus. In fact, it is still possible for you to get positive although you'll only experience mild symptoms. Hence, the tweet is misleading by disregarding the effectiveness of vaccines given that people can still get positive even if vaccinated.

[https://www.houstonmethodist.org/blog/articles/2021/aug/5-things-vaccinated-people-need-to-know-about-breakthrough-infection/#:~:text=In%20most%20cases%2C%20fully%20vaccinated,or%20experience%20only%20mild%20symptoms.]",,532,392,309,-207,None,None,"INEFFICIENCY, DEATH",YES; Other Conspiracy,None,None,,
27-52,30/03/2023 21:39:12,https://twitter.com/ReggaeSal/status/1387195582905675778?s=20,27,"Inukai, Masayuki",HLTH,"COVID-19 vaccines are not effective, can cause infections and/or death","COVID, di epektib","@ReggaeSal",Reggae Sal,"Nothing",Anonymous,02/2021,42,3,Philippines,Eh bat tumataas ang bilang ng covid cases🤣🤣🤣🤣🤣 di epektib ang galing sa China🤣🤣🤣,"Well, the number of covid cases is increasing 🤣🤣🤣🤣🤣 it's not effective from China 🤣🤣🤣",Reply,28/04/2021 08:02:00,,Emotional,0,0,0,,,MISLEADING,"Being fully-vaccinated doesn't mean you'll no longer get the virus. In fact, it is still possible for you to get positive although you'll only experience mild symptoms. As a result, it's entirely possible for the number of cases to increase Hence, the tweet is misleading by correlating the number of cases to the Sinovac.

[https://www.houstonmethodist.org/blog/articles/2021/aug/5-things-vaccinated-people-need-to-know-about-breakthrough-infection/#:~:text=In%20most%20cases%2C%20fully%20vaccinated,or%20experience%20only%20mild%20symptoms.]",,278,138,55,-461,None,None,"INEFFICIENCY, COVID ITSELF",YES; Vaccine Distribution,China,None,,
27-53,30/03/2023 21:52:50,https://twitter.com/PinayNurseinNJ/status/1428045973838876674?s=20,27,"Inukai, Masayuki",HLTH,"COVID-19 vaccines are not effective, can cause infections and/or death","COVID, epektib","@PinayNurseinNJ
",ͶЯ 'ɐǝlɐz∀ 🎀🇵🇭🇺🇸🇺🇦 Vaxxed 5x💉,"HIS love never fails ☦ 💕Dogs Momma🐾🐶🐕🐩💕 Crafty RN. Make Jesus proud.",Anonymous,10/2009,648,97,"New Jersey, USA",Dapat ito ang inuna last quarter of 2020 eh. Mas marami sana ang mababakunahan kasi mas mura at mas epektib kontra covid kesa Sinovac na mas malaki ang kanilang kickvacc,It should be the priority last quarter of 2020. More people would have been vaccinated because it is cheaper and more effective against covid than Sinovac whose kickvacc (kickback) is bigger,Reply,19/08/2021 01:27:00,,Emotional,1,0,0,,,UNPROVEN,"According to WHO, we cannot directly compare vaccines to one another since each had different approaches in its production. Hence, the statement that Sinovac is less effective than Pfizer is unproven.

[https://www.who.int/news-room/feature-stories/detail/the-sinovac-covid-19-vaccine-what-you-need-to-know]",,391,251,168,-348,Multiple,,INEFFICIENCY,YES; Other Conspiracy,"kickback, cheaper",None,,
27-54,30/03/2023 22:08:04,https://twitter.com/FouSurLaColline/status/1424914129979002881?s=20,27,"Inukai, Masayuki",HLTH,"COVID-19 vaccines are not effective, can cause infections and/or death","COVID, epektib","@FouSurLaColline
","Mali John II","Smart and witty country bumpkin.",Identified,10/2012,1282,1330,"Maputo, Mozambique","Nagagalit sa vaccine 'yong isang kakilala ko kasi a week after s'yang mabakunahan ng 2nd dose of Sinovac ang ""side-effects"" daw sa kanya chills, joints & muscle pain, loss of sense of smell and taste and dry cough. Sabi ko, hindi side effects 'yan, SINTOMAS NG COVID, 'yan.","A friend of mine is angry about the vaccine because a week after being vaccinated with the 2nd dose of Sinovac, the ""side-effects"" are said to be chills, joints & muscle pain, loss of sense of smell and taste and dry cough. I said, those are not side effects, those are SYMPTOMS OF COVID.",Text,10/08/2021 10:02:00,,Emotional,43,5,4,1,,MISLEADING,"The tweet is misleading since COVID-19 vaccines can really cause side effects but they are not serious or dangerous enough to diminish the effectiveness of vaccines.

[https://www.hopkinsmedicine.org/health/conditions-and-diseases/coronavirus/covid-19-vaccines-myth-versus-fact]",,382,242,159,-357,Sinovac/CoronaVac,None,COVID ITSELF,YES; Other Conspiracy,None,None,,
27-55,30/03/2023 22:23:29,https://twitter.com/JonBFer/status/1425204415972081668?s=20,27,"Inukai, Masayuki",HLTH,"COVID-19 vaccines are not effective, can cause infections and/or death","COVID, epektib","@JonBFer",JoBFer,Old soul. Loves life and what it has to offer.,Identified,06/2019,111,276,NCR,"na ospital na ba? sabi ng 
@DOHgovph
 pag na sinovac na, hindi na ma ospital at mamatay sa covid. pag namatay yan, ibig sabihin talaga di epektib yan sinovac. sinovac pa more!!!","is that the hospital? 
@DOHgovph
 said that once sinovac is over, you can no longer be hospitalized and die of covid. if they die, it really means that sinovac is not effective. sinovac more!!!",Reply,11/08/2021 05:16:00,,Emotional,0,1,0,,,MISLEADING,"Being fully-vaccinated doesn't mean you'll no longer get the virus. In fact, it is still possible for you Therefore, you still have a chance to get hospitalized but you'll only experience mild symptoms. Hence, the tweet is misleading by pointing out that once a person has been vaccinated, it's a guarantee that they won't get hospitalized. 

[https://www.houstonmethodist.org/blog/articles/2021/aug/5-things-vaccinated-people-need-to-know-about-breakthrough-infection/#:~:text=In%20most%20cases%2C%20fully%20vaccinated,or%20experience%20only%20mild%20symptoms.]",This tweet is a reply to the tweet with ID 27-38,383,243,160,-356,Sinovac/CoronaVac,None,"INEFFICIENCY, DEATH",YES; Other Conspiracy,DOH,None,,
27-56,30/03/2023 22:45:13,https://twitter.com/RobertoGariand1/status/1368775546469982210?s=20,27,"Inukai, Masayuki",HLTH,"COVID-19 vaccines are not effective, can cause infections and/or death","COVID, epektib",@RobertoGariand1,Roberto Gariando,electronics and electrical  consultant for projects and production. And management consultant .,Identified,09/2020,46,4,"NCR, Taguig","Mukha hinde epektib ang VACCINE na itinuturor . Dahil tumataas daw ang my covid viruz. Sa atin sa pilipinas. O dapat imbistigahan ang bilang ng pg taas ng ng kakaroon ng covid viruz. Gamita na kasi ng ANTIBIOTICS sa ubo ang mga na covid viruz . Para mawala viruz.
",The VACCINE being taught seems to be ineffective. Because my covid virus is worsening. To us in the Philippines. Or we should investigate the number of people who have the covid virus. Those who have covid virus already use ANTIBIOTICS for cough. To get rid of viruses.,Text,08/03/2021 12:08:00,,Emotional,0,0,0,,,MISLEADING,"Being fully-vaccinated doesn't mean you'll no longer get the virus. In fact, it is still possible for you to get positive although you'll only experience mild symptoms. As a result, it's entirely possible for the number of cases to increase Hence, the tweet is misleading by correlating the number of cases to the Sinovac.

[https://www.houstonmethodist.org/blog/articles/2021/aug/5-things-vaccinated-people-need-to-know-about-breakthrough-infection/#:~:text=In%20most%20cases%2C%20fully%20vaccinated,or%20experience%20only%20mild%20symptoms.]",,227,87,4,-512,None,Antibiotics,"INEFFICIENCY, COVID ITSELF",YES; Vaccine Trials,None,None,,
27-57,30/03/2023 22:53:48,https://twitter.com/GeneFajardo2/status/1340084737315102722?s=20,27,"Inukai, Masayuki",HLTH,"COVID-19 vaccines are not effective, can cause infections and/or death","COVID, epektib",@GeneFajardo2,Brod Gene,Tuloy Ang Laban.,Identified,05/2019,911,1235,Philippines,Ginoong Pangulo at Czar Vaccine : Nasaan ang Covid Vaccine? Yung epektib hindi ang SinoVac! #AsanAngCovidVaccine. Dapat ipa trend natin. #AsanAngCovidVaccine,Mr. President and Czar Vaccine : Where is the Covid Vaccine? SinoVac is not effective! #AsanAngCovidVaccine . We should make it a trend. #AsanAngCovidVaccine,Text,19/12/2020 08:01:00,,Emotional,1,0,0,,,MISLEADING,"Despite varying efficacy rates, all COVID-19 vaccine, in essence, are effective and will protect people against the virus. Hence, it's wrong to claim that vaccines are ineffective.

[https://www.rappler.com/newsbreak/iq/list-myths-covid-19-vaccines-debunked/]",,148,8,-75,-591,Sinovac/CoronaVac,None,INEFFICIENCY,YES; Other Conspiracy,"Pres. Rodrigo Duterte, Vaccine Czar Carlito Galvez Jr.",None,,
27-58,30/03/2023 22:54:55,https://twitter.com/RobertoGariand1/status/1441366264413257732?s=20,27,"Inukai, Masayuki",HLTH,"COVID-19 vaccines are not effective, can cause infections and/or death","COVID, death",@RobertoGariand1,Roberto Gariando,electronics and electrical  consultant for projects and production. And management consultant .,Identified,09/2020,46,4,"NCR, Taguig",TAPOSIN NA ANG COVID PANDEMIC SA PG PAPAINUM SA LAHAT NG ANTIBITIC SA UBO NG MAWALA ANG VIRUZ KUNG MEROON MAN. KASO PANLOLOKO LANG DOH MAFIA WHO ANG VIRUZ PARA MG PA BAKUNA TAYO AT MAMATAY SA MGA BAKUNA.,"END THE COVID PANDEMIC WITH GIVING ANTIBIOTICS TO PEOPLE WITH COUGHS TO CURE THE VIRUS IF THEY HAVE IT. THE VIRUS IS JUST A FRAUD CASE BY DOH, MAFIA, AND WHO SO THAT WE CAN GET VACCINATED AND DIE FROM THE VACCINES.",Text,24/09/2021 19:37:00,,Emotional,0,0,0,,,INACCURATE,"Despite the reports from CDC that COVID vaccines can cause death, it's only 0.0029% of the total vaccines administered from December 14, 2020, through March 1, 2023. Hence, it's inaccurate to say that vaccines are ineffective and it causes death.

[https://www.cdc.gov/coronavirus/2019-ncov/vaccines/safety/adverse-events.html]",,427,287,204,-312,None,Anitbiotics,DEATH,YES; Other Conspiracy,DOH,None,,
27-59,30/03/2023 22:57:35,https://twitter.com/RobertoGariand1/status/1408981365786243074?s=20,27,"Inukai, Masayuki",HLTH,"COVID-19 vaccines are not effective, can cause infections and/or death","COVID, death",@RobertoGariand1,Roberto Gariando,electronics and electrical  consultant for projects and production. And management consultant .,Identified,09/2020,46,4,"NCR, Taguig","They made a viruz that is not true that is NO CURE for it. And now they a vaccine that kills people that after two years . When you take the vaccines that they have created. So better take ANTIBIOTIC MEDICINES for cough that the vaccines that kills people after two years.",,Image,27/06/2021 10:51:00,,Emotional,0,0,0,,,INACCURATE,"Despite the reports from CDC that COVID vaccines can cause death, it's only 0.0029% of the total vaccines administered from December 14, 2020, through March 1, 2023. Hence, it's inaccurate to say that vaccines are ineffective and it causes death.

[https://www.cdc.gov/coronavirus/2019-ncov/vaccines/safety/adverse-events.html]",,338,198,115,-401,None,Anitbiotics,DEATH,YES; Other Conspiracy,None,None,,
27-60,30/03/2023 23:58:28,https://twitter.com/kaliwatlapulapu/status/1388991107640578049?s=20,27,"Inukai, Masayuki",HLTH,"COVID-19 vaccines are not effective, can cause infections and/or death","COVID-19, bakuna, efficacy","@kaliwatlapulapu","Kaliwat Ni Lapu-lapu","kaliwat ni lapu-lapu",Anonymous,12/2016,2072,226,Region VII,"Kaya pala libre ang bakuna galing china kasi, 50/50 lang ang efficacy.
Cop who got 1st Sinovac dose dies of COVID-19",That's why the vaccine from China is free because the efficacy is only 50/50. Cop who got 1st Sinovac dose dies of COVID-19,URL,03/05/2021 06:57:00,,"Rational, Emotional",0,0,0,,,MISLEADING,"Despite Sinovac having a 51% efficacy againt SARS-CoV-2 infection, it has an efficacy of 100% against severe COVID-19, and 100% against hospitalization. Hence, the tweet misleads by claiming that Sinovac vaccines only has a 50% of keeping you safe and alive from COVID-19.  

[https://www.who.int/news-room/feature-stories/detail/the-sinovac-covid-19-vaccine-what-you-need-to-know]",,283,143,60,-456,Sinovac/CoronaVac,None,DEATH,YES; Vaccine Trials,China,None,,
27-61,31/03/2023 00:26:06,https://twitter.com/BongPhillips555/status/1409266234021933056?s=20,27,"Inukai, Masayuki",HLTH,"COVID-19 vaccines are not effective, can cause infections and/or death","vaccine, nakakamatay","@BongPhillips555","EDWARD Phillips",None,Identified,01/2010,354,405,Philippines,"Kinakabahan na siguro yung mga Pinoy Healthcare Workers na naturukan ng Sinovac kasi naniwala sila sa propaganda na the best vaccine is what's available chuchu. 

Ayan, di pala effective, nakakamatay din. Sabi na kasing Western made ang bilhin. Tigas ulo ng D30 Admin. Sinocumita?","The Pinoy Healthcare Workers who were injected with Sinovac are probably nervous because they believed the propaganda that the best vaccine is what's available chuchu.

Well, it's not effective, it's also deadly. Said to buy as Western made. D30 Admin is stubborn. Sinocomita?",Text,28/06/2021 05:43:00,,Emotional,0,1,0,,,FALSE,"Despite Sinovac having a 51% efficacy againt SARS-CoV-2 infection, it has an efficacy of 100% against severe COVID-19, and 100% against hospitalization. Hence, the tweet is false since it claims that Sinovac vaccines are ineffective and it can even cause death.

[https://www.who.int/news-room/feature-stories/detail/the-sinovac-covid-19-vaccine-what-you-need-to-know]",Lacks account bio but is identifiable through profile engagements and personal posts.,339,199,116,-400,Sinovac/CoronaVac,None,"INEFFICIENCY, DEATH",YES; Vaccine Trials,"Western, Pres. Rodrigo Duterte, Pinoy Healthcare Workers",None,,
27-62,31/03/2023 00:43:16,https://twitter.com/juandel40496920/status/1372083290723688448?s=20,27,"Inukai, Masayuki",HLTH,"COVID-19 vaccines are not effective, can cause infections and/or death","vaccine, nakakamatay",@juandel40496920,philpatriot,None,Anonymous,10/2020,122,6,Philippines,"Unti-unti na kaming pinapatay ng gobyernong ito sa walang pakundangang pagpapatupad ng mga walang silbing lockdown, quarantine at health protocols. Idagdag pa nito ang nakakamatay na covid-19 vaccine sapagkat tao ang pinagpapraktisan.","This government is slowly killing us with the reckless implementation of useless lockdown, quarantine and health protocols. Add to this the deadly covid-19 vaccine because it is practiced on humans.",Reply,17/03/2021 15:12:00,,Emotional,0,0,0,,,INACCURATE,"Despite the reports from CDC that COVID vaccines can cause death, it's only 0.0029% of the total vaccines administered from December 14, 2020, through March 1, 2023. Hence, it's inaccurate to say that vaccines are ineffective and it causes death.

[https://www.cdc.gov/coronavirus/2019-ncov/vaccines/safety/adverse-events.html]",Lacks account bio and is not identifiable.,236,96,13,-503,None,None,DEATH,YES; Other Conspiracy,this government,None,,
27-63,31/03/2023 01:06:41,https://twitter.com/Lawrence_Deee/status/1425977679602356226?s=20,27,"Inukai, Masayuki",HLTH,"COVID-19 vaccines are not effective, can cause infections and/or death","vaccine, di epektibo","@Lawrence_Deee","Lance🌻","Cheeseburgers and Mango Charlotte | In pursuit of the untarnished truth.",Anonymous,11/2016,167,169,Region XI,May anti-vaxxer din pala sa UP Manila? ‘Di epektibo ang COVID-19 vaccine - doktor,,URL,13/08/2021 08:29:00,,Emotional,0,0,0,,,FALSE,"COVID-19 vaccines are tested and proven to prevent contracting the virus.  Hence, it's wrong to say that the vaccine is ineffective. 

[https://www.nfid.org/infectious-diseases/frequently-asked-questions-about-covid-19-vaccines/]",Lacks account bio and is not identifiable.,385,245,162,-354,None,None,INEFFICIENCY,YES; Vaccine Trials,UP Manila,Anti-vaxxer,,
27-64,31/03/2023 01:19:42,https://twitter.com/claro_sonny/status/1370334161899167750?s=20,27,"Inukai, Masayuki",HLTH,"COVID-19 vaccines are not effective, can cause infections and/or death","vaccine, di epektibo",@claro_sonny,Sonny Claro,Poet/ music lover/ veteran video gamer/ old soul.. Sige na nga old na rin!!! MASAYA KA NA!!,Identified,12/2016,573,157,Region III,"May covid si sinas..kahit na isa sya sa posibleng nabakunahan na ng smuggled na vaccine last Oct. 2 lang ang punto jan.. di talaga epektibo ang gawang china na vaccine o sinungaling lang talaga sila..","Sinas has covid.. even though he is one of those who may have been vaccinated with the smuggled vaccine last Oct. There are only 2 points.. the Chinese made vaccine is not really effective or they are just liars..",Reply,12/03/2021 19:21:00,,Emotional,1,0,1,,,MISLEADING,"Being fully-vaccinated doesn't mean you'll no longer get the virus. In fact, it is still possible for you to get positive although you'll only experience mild symptoms and it doesn;t imply that the vaccine is not effective.

[https://www.houstonmethodist.org/blog/articles/2021/aug/5-things-vaccinated-people-need-to-know-about-breakthrough-infection/#:~:text=In%20most%20cases%2C%20fully%20vaccinated,or%20experience%20only%20mild%20symptoms.]",Seems like the user's personal account based on the bio and consistent name in Account handle and name,231,91,8,-508,None,None,INEFFICIENCY,YES; Vaccine Trials,China,None,,
27-65,03/04/2023 11:25:05,https://twitter.com/k4ats/status/1525288660304003072,27,"Lanting, Kurt",HLTH,"COVID-19 vaccines are not effective, can cause infections and/or death","Pfizer, killer",@k4ats,klk,None,Anonymous,12/2010,839,283,Philippines,PFIZER a KILLER drug,Pfizer a killer drug,Text,14/05/2022 09:35:00,,Transactional,1,0,0,,,NEED CONTEXT,"This tweet is a baseless and dangerous claim without any evidence to support it. Pfizer is a reputable pharmaceutical company that has undergone rigorous testing and regulatory processes to ensure the safety and efficacy of their drugs. It is important to always fact-check and verify information before spreading false claims that can harm individuals and public health efforts.

[https://www.fda.gov/emergency-preparedness-and-response/coronavirus-disease-2019-covid-19/pfizer-biontech-covid-19-vaccine]",,659,519,436,-80,Pfizer,None,DEATH,YES; Vaccine Content,None,Killer,,
27-66,03/04/2023 11:29:17,https://twitter.com/just_a_guy_twit/status/1604981409289973761,27,"Lanting, Kurt",HLTH,"COVID-19 vaccines are not effective, can cause infections and/or death","vaccinated, dying",@just_a_guy_twit,The annoyer,None,Anonymous,02/2022,50,6,Philippines,"DOH we dare you to show the numbers of the VACCINATED PEOPLE DYING & hospitalized & disabled versus the unvaccinated..

DOH never ashamed to be a drug dealer of the philippines","DOH we dare you to show the numbers of the VACCINATED PEOPLE DYING & hospitalized & disabled versus the unvaccinated..

DOH never ashamed to be a drug dealer of the Philippines",Reply,20/12/2022 07:29:00,,Rational,1,0,0,,,UNPROVEN,"This is unproven. According to the latest data from the Department of Health (DOH) in the Philippines, the majority of COVID-19 deaths and hospitalizations are among the unvaccinated population. 

[https://covid19.who.int/region/wpro/country/ph]",,879,739,656,140,None,None,DEATH,YES; Vaccine Content,DOH,None,,
27-67,03/04/2023 11:39:27,https://twitter.com/KimIverest/status/1481645061914136578,27,"Lanting, Kurt",HLTH,"COVID-19 vaccines are not effective, can cause infections and/or death","vaccinated, infected",@KimIverest,Kim Iverest,Traveler. Investigative Journalist.,Identified,11/2021,35,6,Philippines,"How many are vaccinated with covid? In Europe, Israel, Singapore, more & more vaccinated people are infected with covid. Stop spreading fallacies. Natural immunity, esp w/ those who recovered fr covid, is 27 times stronger than any EXPERIMENTAL BIOLIGICAL AGENT. NO VAX for them!","How many are vaccinated with covid? In Europe, Israel, Singapore, more & more vaccinated people are infected with covid. Stop spreading fallacies. Natural immunity, especially with those who recovered from covid, is 27 times stronger than any experimental biological agent. No vax for them!",Reply,13/01/2022 23:11:00,,Emotional,2,0,0,,,INACCURATE,"This tweet is inaccurate. Vaccination significantly reduces the risk of getting infected with COVID-19 and developing severe illness. According to data from the Centers for Disease Control and Prevention (CDC), over 170 million people in the United States have been fully vaccinated, and only a small percentage of them have been infected with COVID-19. Additionally, natural immunity is not a substitute for vaccination, as it is not clear how long natural immunity lasts and how effective it is against new variants of the virus. 

[https://www.cdc.gov/coronavirus/2019-ncov/vaccines/keythingstoknow.html]",,538,398,315,-201,None,None,INFECTION,YES; Vaccine Distribution," Europe, Israel, Singapore,",None,,
27-68,03/04/2023 11:44:12,https://twitter.com/christusrex_est/status/1601005843549675520,27,"Lanting, Kurt",HLTH,"COVID-19 vaccines are not effective, can cause infections and/or death","vaccines, side effects",@christusrex_est,freethinker,"Freedom of speech, freedom of thought Pronouns : nor/mal",Anonymous,11/2020,58,3,Philippines,"Nag collapse bigla? Kawawa naman. Ang mga side effects talaga ng bakuna, hindi mo mamamalayan, biglaan na lang. Rest in peace Jovit. Now it’s time to talk about the side effects of the COVID vaccines that have been forced on people","Collapsed suddenly? Pity. The side effects of the vaccine are real, you won't realize it, it's all of a sudden. Rest in peace Jovit. Now it's time to talk about the side effects of the COVID vaccines that have been forced on people",Reply,12/09/2022 08:08:00,,Rational,3,5,0,,,UNPROVEN,"The claim that the side effects of the COVID vaccines caused the sudden collapse and death of Jovit Baldivino is UNPROVEN. 

[https://www.rappler.com/entertainment/celebrities/jovit-baldivino-death-fake-news-claims]",,780,640,557,41,None,None,DEATH,YES; Vaccine Content,Jovit Baldivino,None,,
27-69,03/04/2023 11:57:40,https://twitter.com/tro33ing,27,"Lanting, Kurt",HLTH,"COVID-19 vaccines are not effective, can cause infections and/or death","vaccination, variants",@tro33ing,Freedom Fighter,No to V AX mandates and passports #NoVaccinePassports,Anonymous,10/2021,46,311,Philippines,"It's easy to see that

More vaccination = more variant","It's easy to see that. More vaccination = more variant""",Text,08/08/22 8:59:00,,Rational,4,0,0,,,UNPROVEN,"This tweet is UNPROVEN. There is no scientific evidence to support the claim that more vaccination leads to more variants. In fact, experts suggest that the opposite is true - vaccination can help reduce the emergence of new variants by limiting the spread of the virus. 

[https://www.who.int/emergencies/disease-outbreak-news/item/2021-DON279]",,745,605,522,6,None,None,COVID ITSELF,YES; Other Conspiracy,None,None,,
27-70,03/04/2023 11:20:03,https://twitter.com/bigboyvision/status/1484332225789267970?s=61&t=Ad-n9AJl8FRRzpQWu4ILbQ,27,"Lanting, Kurt",HLTH,"COVID-19 vaccines are not effective, can cause infections and/or death","COVID-19, lason",@bigboyvision,Bernard Q,#businessman,Identified,02/2021,164,17,National Capital Region,No effect yan experimental vaccine lason!. I got natural immunity dahil gumaling ako agad sa covid . I got test my antibodies ang result 15000 😂. Kht tabihan ko pa yung may sakit ng covid immune n ko. Yung vax niyo hawa pa din  😂,That has no effect experimental vaccine poison!. I got natural immunity because I recovered immediately from covid. I got to test my antibodies the result is 15000 😂. Even if i go near someone who is sick with covid im already immune. Your vax can still cause you to be infected 😂,Reply,21/01/2022 09:09:00,,Rational,0,0,0,,,FALSE,"This tweet is FALSE. Natural immunity from a previous COVID-19 infection does not guarantee protection against future infections or variants. Additionally, the experimental vaccines have been shown to be highly effective in preventing severe illness, hospitalization, and death from COVID-19. The claim that the vaccine can cause infection is also false. 

[https://www.cdc.gov/coronavirus/2019-ncov/vaccines/keythingstoknow.html]",,546,406,323,-193,None,None,INEFFICIENCY,YES; Vaccine Trials,None,None,,
27-71,03/04/2023 11:19:52,https://twitter.com/jannellesanford/status/1365590358592278537?s=61&t=Ad-n9AJl8FRRzpQWu4ILbQ,27,"Lanting, Kurt",HLTH,"COVID-19 vaccines are not effective, can cause infections and/or death",COVID-19 vaccine,@JannelleSanford,Janelle Sanford,None,Identified,06/2020,913,504,Region XII,"Ang akala ko safe yang magpavaccine yun pla hindi. Kaibigan ko nagpa vaccine para ma secure ang kaligtasan niya,tuloy mas  nagkaroon siya ng covid-19 😔 nakakalungkot lang.","I thought it was safe to get vaccinated, but it's not. My friend got a vaccine to ensure his safety, then he got covid-19 😔 it's just sad.",Text,21/02/2021 17:11:00,,Emotional,0,0,0,,,FALSE,"This tweet is FALSE. Vaccines are proven to be effective in preventing COVID-19 infections. According to the Centers for Disease Control and Prevention (CDC), breakthrough infections (getting COVID-19 after being fully vaccinated) are rare and the vaccines still provide strong protection against severe illness, hospitalization, and death. 

[https://www.cdc.gov/coronavirus/2019-ncov/vaccines/keythingstoknow.html]",,212,72,-11,-527,None,None,INEFFICIENCY,YES; Vaccine Content,None,None,,
27-72,03/04/2023 11:19:10,https://twitter.com/paulapostle14/status/1631221374659497985?s=61&t=Ad-n9AJl8FRRzpQWu4ILbQ,27,"Lanting, Kurt",HLTH,"COVID-19 vaccines are not effective, can cause infections and/or death","COVID-19 vaccine, lason",@PaulApostle14,Paul Apostle,CRITICAL THINKER. Marcos loyalist,Identified,10/2023,208,43,Region V,Mga mamatay tao kayo mga tiga DOH pinilit n'yo bakunahan mga tao ng covid 19 vaccine na pumatay sa libong tao sapagkat lason ito na nagdulot ng ibat-ibang sakit sa mga tao,"
You people from DOH are killers  you forced to vaccinate people with the covid 19 vaccine that killed thousands of people because it was poison that caused various diseases to people",Reply,03/02/2023 17:14:00,,Emotional,1,1,0,,39,FALSE,"This tweet is FALSE. There is no evidence that the COVID-19 vaccine has killed thousands of people or caused various diseases. In fact, multiple studies have shown that the vaccines are safe and effective in preventing severe illness and death from COVID-19. 

[https://www.who.int/emergencies/disease-outbreak-news/item/2021-DON299]",,924,784,701,185,None,None,"INEFFICIENCY, DEATH",YES; Vaccine Content,DOH,Mamamatay tao,,
