ID,Timestamp (DD/MM/YY H:M:S),Tweet URL,Group,Collector,Category,Topic,Keywords,Account Handle,Account Name,Account Bio,Account Type,Joined (MM/YYYY),Following,Followers,Location,Context,Tweet,Tweet Translated,Tweet Type,Date Posted (DD/MM/YY H:M:S),Screenshot,Content Type,Likes,Replies,Retweets,Quote Tweets,Views,Rating,Reasoning,Remarks,"No. of Days since Philippines Joined the COVAX Facility (Jul 24, 2020)","No. of Days since FDA Approved the First COVID-19 Vaccine (Dec 11, 2020)","No. of Days since Arrival of First Batch of COVID-19 Vaccine Doses Committed by the COVAX Facility (Mar 04, 2021)","No. of Days since First Detected Cases of Omicron Variant in the Philippines (Aug 02, 2022)",Mentioned or Referenced COVID-19 Vaccine Brand,Mentioned or Referenced Other Vaccine/Drugs,Peddled Medical Adverse Side Effect,Distrust in Vaccine Development,"Racial, Religious, Cultural, Economic, or Socio-Political Keywords",Oppressive Keywords,Reviewer,Review
27-77,03/04/2023 3:34,https://twitter.com/chimchim13_chim/status/1433033486990917632,27,"Lanting, Kurt",HLTH,"COVID-19 vaccines are not effective, can cause infections and/or death","COVID, namatay",@chimchim13_chim,chim_aus #밀뉴,Click here for my Completed and On Going AUs twitter.com/chimchim13_chi…,Anonymous,Apr-20,108,192,Philippines,None,@youngjellybean_ Hindi nga tayo patay sa Covid namatay naman tayo sa Overdose kakaulit sa Bakuna hahahaha,@youngjellybean_ We didn't die from Covid but we died from an Overdose by repeating the vaccine rather than covid itself hahahaha,Reply,01/09/2021 19:46,,Emotional,0,1,0,,,FALSE,"This tweet is FALSE. There is no evidence to suggest that repeating the COVID-19 vaccine causes an overdose or death. In fact, getting the recommended doses of the vaccine is crucial for building immunity against the virus. 

[https://www.cdc.gov/coronavirus/2019-ncov/vaccines/faq.html]",,404,264,181,-335,None,None,DEATH,YES; Other Conspiracy,None,None,,
27-78,03/04/2023 3:34,https://twitter.com/seenerez/status/1446057100866584579,27,"Lanting, Kurt",HLTH,"COVID-19 vaccines are not effective, can cause infections and/or death","COVID,  dose",@seenerez,Kier,Keep on walking nonetheless.,Identified,Dec-20,179,74,"Isulan, SOCCSKSARGEN",None,"Me: Pa pa sched na bakuna dira. Sil Tita nag pa bakuna na gani tung nangligad.
Papa: Pigado ng bakuna, may ara di tapos niya 2nd dose napatay, gin charge dayon nila sa COVID.
M: Bala patay na sa bakuna kaysa sa COVID eh, te tani ubos na di patay ya mga nabakunahan.","""Me: Vaccination is still scheduled there. Tita has even been vaccinated since last time.
Dad: The vaccine was packed, someone died after his 2nd dose, they immediately charged him with COVID.
M: I'm sure the vaccine is more deadly than the COVID.
",Text,07/10/2021 18:17,,Rational,0,1,0,,,NEED CONTEXT,"The conversation about vaccination and COVID-19 needs context because it contains misinformation about the safety and efficacy of vaccines. The claim that the vaccine is more deadly than COVID-19 is not supported by scientific evidence. In fact, vaccines have been proven to be safe and effective in preventing COVID-19 and reducing the severity of the disease. Misinformation like this can lead to vaccine hesitancy and undermine efforts to control the pandemic.

[https://www.who.int/emergencies/disease-outbreak-news/item/2021-DON279]",,440,300,217,-299,None,None,DEATH,YES; Vaccine Content,None,None,,
27-79,03/04/2023 3:34,https://twitter.com/TIRSOPAGLICAWAN/status/1491572939212222466,27,"Lanting, Kurt",HLTH,"COVID-19 vaccines are not effective, can cause infections and/or death","patay, effective, bakuna",@TIRSOPAGLICAWAN,TIRSO PAGLICAWAN JR.,"BSCEgrad,paralegal/journalist;COCOFED, DepEd,CSC,PHLpost scholar;Jurymovement chair;DILGNapolcomPressClub VPprint;editor,The Market Monitor;OFW welfare advocate",Identified,Feb-13,73,26,Philippines,Health,"Nmtay snhi ng tglay n skit d dahil s vx effect-@Irwin Zuproc. SAFE, EFFECTIVE PERO DALAGITA PATAY S BAKUNA
m.facebook.com/groups/6279911… s sabi n DOH SEC DUQUE
PAO chief Acosta's stunt: 160th Dengvaxia 'victim' dies
manilastandard.net/mobile/article…
NO TO FORCED COVID VXN
change.org/p/philippine-h…","People die quickly because of the vx effect-@Irwin Zuproc. SAFE, EFFECTIVE BUT DEADLY VACCINES
m.facebook.com/groups/6279911... s known as DOH SEC DUKE
PAO chief Acosta's stunt: Dengvaxia's 160th 'victim' dies
manilastandard.net/mobile/article...
NOT TO FORCED COVID VXN
change.org/p/philippine-h.",Text,10/02/2022 8:41,,Emotional,0,0,0,,,NEED CONTEXT,"The tweet needs context because it mentions the safety and effectiveness of vaccines, but also mentions the deadly effects of the VX (presumably referring to the Dengvaxia controversy in the Philippines). It also advocates against forced COVID vaccination. 

Here is an online source that provides more information on the controversy surrounding the Dengvaxia vaccine:

[https://www.rappler.com/newsbreak/iq/191775-fast-facts-what-you-need-to-know-dengvaxia-controversy]",,566,426,343,-173,None,None,DEATH,YES; Vaccine Content,None,None,,
27-80,03/04/2023 11:01,https://twitter.com/frank_mangubat/status/1352791729062113281,27,"Lanting, Kurt",HLTH,"COVID-19 vaccines are not effective, can cause infections and/or death","bakuna, vaccine, lason",@frank_mangubat,Frank Mangubat,"tryin to survive 

dx June 30, 2022 , TLD",Identified,Jan-18,88,74,Philippines,None,@ABSCBNNews @ANCALERTS Wag na kayo mag pa bakuna at lason yang vaccine na yna,@ABSCBNNews @ancalerts don't even have a vaccine and poison yang vaccine yna,Reply,23/01/2021 9:34,,Rational,0,0,0,0,,FALSE,"There is no evidence that vaccines are poisonous. This claim is false.

[https://www.who.int/emergencies/ten-threats-to-global-health-in-2019]",,183,43,-40,-556,None,None,POISONOUS,YES; Vaccine Content,ABS CBN,None,,
27-81,03/04/2023 11:01,https://twitter.com/jmdelros/status/1361677438766391297,27,"Lanting, Kurt",HLTH,"COVID-19 vaccines are not effective, can cause infections and/or death","vaccine, poisonous",@jmdelros,j.mari ᜇᜒᜎ᜔ ᜇᜓᜐᜇᜒᜂ,"labanan natin ang pagka-manhid🤷🏽‍♂️...tama naman si VP🇵🇭:""Hindi naman tayo ganyan eh🤦🏻‍♀️..Hindi tayo ganito"".",Identified,Feb-14,604,99,Philippines,None,"@hiram_ryu VP Leni, huwag na huwag ka magtitiwala sa bakuna na ibibigay nila sa iyo; siguradong may lason iyan!","@hiram_ryu VP Leni, don't even trust the vaccine they will give you; That's definitely poisonous!",Reply,16/02/2021 22:02,,Rational,2,0,0,0,,NEED CONTEXT,"VP Leni, don't even trust the vaccine they will give you; That's definitely poisonous!

This tweet needs context because it spreads misinformation and baseless claims about the safety of vaccines. Vaccines undergo rigorous testing and clinical trials before they are approved for public use. The claim that vaccines are poisonous is not supported by scientific evidence.

[https://www.who.int/news-room/q-a-detail/vaccines-and-immunization-myths-and-misconceptions]",,207,67,-16,-532,None,None,POISONOUS,YES; Vaccine Content,Leni Robredo,None,,
27-82,03/04/2023 11:33,https://twitter.com/taaamipadilla/status/1288816541488705536,27,"Lanting, Kurt",HLTH,"COVID-19 vaccines are not effective, can cause infections and/or death","vaccine, fake",@taaamipadilla,tamtam~^^,None,Anonymous,Jul-20,47,6,Philippines,Racial,"@inquirerdotnet @DJEsguerraINQ China were asked about COVID-19 when it was starting out, but they lied. What makes you think that they wouldn’t lie again about their so called vaccine? FUNNY. Peke naman lahat sa kanila, damit nga hindi nila magawa ng maayos, vaccine pa kaya.","@inquiredotnet @djesguerrainq china were asked about covid-19 when it was starting out, but they lied. What makes you think that they don't lie again about their so called vaccine? Funny. All of them are fake, they can't do well, vaccine yet.",Reply,30/07/2020 20:39,,Emotional,0,1,0,0,,UNPROVEN,"There is no concrete evidence to support the claim that all vaccines from China are fake. Therefore, the tweet is unproven. 

[https://www.reuters.com/article/uk-factcheck-china-vaccine/fact-check-chinese-covid-19-vaccines-are-not-fake-idUSKBN2A92JN]",,6,-134,-217,-733,None,None,INEFFICIENCY,YES; Vaccine Content,China,None,,
27-83,03/04/2023 11:33,https://twitter.com/riaquinoo/status/1291030001404375042,27,"Lanting, Kurt",HLTH,"COVID-19 vaccines are not effective, can cause infections and/or death","vaccine, fake",@riaquinoo,riaaaaa,kay Jaebom lang,Anonymous,Jul-20,48,7,Philippines,Racial,"@JDzxl Sobrang taas nga ng possibility na sinadya nila ang COVID 19, syempre may kakayahan din silang gawing peke ang vaccine at PPEs nila. #LayasChina","@Jdzxl so highly possibilities that they intended Covid 19, of course they also have the ability to make their vaccine and ppes fake. #Layaschina",Reply,05/08/2020 23:15,,Transactional,0,0,0,0,,NEED CONTEXT,"There is no evidence to support the claim that China intended to create Covid-19 or that they are producing fake vaccines and PPEs. This tweet is spreading misinformation and needs context to clarify the lack of evidence supporting these claims.

[https://www.who.int/emergencies/disease-outbreak-news/item/2020-DON-01-03]",,12,-128,-211,-727,None,None,INEFFICIENCY,YES; Vaccine Trials,China,Layas China,,
27-84,03/04/2023 11:33,https://twitter.com/eddiezon_mhark/status/1412641114390024195,27,"Lanting, Kurt",HLTH,"COVID-19 vaccines are not effective, can cause infections and/or death","Covid, vaccine, fake",@eddiezon_mhark,Tots,Totsyan,Identified,Jun-21,66,0,Philippines,Racial,"lahat talaga dito sa china peke e may kakilala ako dito sa amin nagpaturok ng sinovac kaso nagka sakit paden ng covid . ano walang bisa yang vaccine nyo.

twitter.com/inquirerdotnet…","Everything here in China is fake e I know here with us who packed the Sinovac case with a Covid disease. What a vaccine that is.

twitter.com/inquiredotnet…",Text,07/07/2021 13:14,,Rational,0,0,0,0,,NEED CONTEXT,"The claim that everything in China is fake and that the Sinovac vaccine is packed with Covid disease needs context. 

[https://www.reuters.com/article/uk-factcheck-china-fake-idUSKBN2BQ1JN]",,348,208,125,-391,Sinovac/CoronaVac,None,INEFFICIENCY,YES; Vaccine Distribution,China,None,,
27-85,17/04/2023 15:06,https://twitter.com/plant_muscle/status/1472034343631474691,27,"Inukai, Masayuki",HLTH,"COVID-19 vaccines are not effective, can cause infections and/or death","COVID, vaccine, walang kwenta",@plant_muscle,Plant Muscle,I'm not that special I am just a plantbased coach,Anonymous,Oct-21,9,3,Philippines,Racial,"@Doc4Dead Panu puro focus sa covid mga timang, dapat nag focus nalang sa pag papaalis sa mga dayuhang na nag pupush sa vaccine, na walang kwenta puro control lang ang gusto satin.",,Reply,27/03/2021 14:04,,Emotional,0,0,0,0,,NEED CONTEXT,"The claim of the tweet that ""puro control lang ang gusto satin."" may refer to the quarantine protocols that the government established during the onset of the pandemic, however, it still lacks the necessary context to confirm this. Nonetheless, the tweet is making a false statement that the vaccines are ""walang kwenta"" since despite varying efficacy rates, all COVID-19 vaccine, in essence, are effective and will protect people against the virus.

[https://www.rappler.com/newsbreak/iq/list-myths-covid-19-vaccines-debunked/]",,246,106,23,-493,None,None,INEFFICIENCY,YES; Vaccine Trials,None,None,,
27-86,17/04/2023 15:06,https://twitter.com/JaimeJi85149832/status/1428206917671923716,27,"Inukai, Masayuki",HLTH,"COVID-19 vaccines are not effective, can cause infections and/or death","COVID, vaccine, walang kwenta",@JaimeJi85149832,Jaime Jimenez,,Anonymous,Jul-21,104,1,Philippines,None,@News5PH fulled vaccine nag karoon p ng covid. D walang kwenta ang vaccine .magkakaroon k. Dn ng covid,,Reply,19/08/2021 12:07,,Emotional,0,0,0,0,,MISLEADING,"Being fully-vaccinated doesn't mean you'll no longer get the virus. In fact, it is still possible for you to get positive although you'll only experience mild symptoms. Hence, the tweet is misleading by disregarding the effectiveness of vaccines given that people can still get positive even if vaccinated.

[https://www.houstonmethodist.org/blog/articles/2021/aug/5-things-vaccinated-people-need-to-know-about-breakthrough-infection/#:~:text=In%20most%20cases%2C%20fully%20vaccinated,or%20experience%20only%20mild%20symptoms.]",,391,251,168,-348,None,None,INEFFICIENCY,YES; Vaccine Trials,None,None,,
27-87,17/04/2023 15:06,https://twitter.com/Miketaganas1/status/1375690224227913730,27,"Inukai, Masayuki",HLTH,"COVID-19 vaccines are not effective, can cause infections and/or death","COVID, vaccine, walang kwenta",@Miketaganas1,Mike,Engr.,Anonymous,Feb-19,111,426,Philippines,None,Walang kwenta yung vaccine mas lalo pa dumami covid,The vaccine is useless the more covid increases,Text,27/03/2021 14:04,,Emotional,0,0,0,0,,FALSE,"Being fully-vaccinated doesn't mean you'll no longer get the virus. In fact, it is still possible for you to get positive although you'll only experience mild symptoms. Hence, the tweet is false by directly stating that vaccines are not effective given that people can still get positive even if vaccinated.

[https://www.houstonmethodist.org/blog/articles/2021/aug/5-things-vaccinated-people-need-to-know-about-breakthrough-infection/#:~:text=In%20most%20cases%2C%20fully%20vaccinated,or%20experience%20only%20mild%20symptoms.]","Despite having a real name, the profile picture is of a cat. That's why the account is tagged as anonymous",246,106,23,-493,None,None,INEFFICIENCY,YES; Vaccine Trials,None,None,,
27-88,4/17/2023 1:38:17,https://twitter.com/iamjeangrey/status/1438772475127468034?s=20,27,"Inukai, Masayuki",HLTH,"COVID-19 vaccines are not effective, can cause infections and/or death","COVID, bakuna, deadly","@iamjeangrey
","♡Nadiuuh🇺🇸
","God, Family & Country/ I love Jesus & America/ Proud American Patriot 🇺🇸 / #MAGA / English is my second language. Married- NO DM’s pls 🙏🏽",Identified,Jun-11,3622,3036,USA,None,Actually baliktad. Unvaccinated needs to be protected from the vaccinated. Kayo ang carrier ng variants.,,Image,17/09/2021 15:51,,Emotional,0,1,0,0,,FALSE,"The image claims that COVID vaccines can bring adverse effects to the vaccinated such as causing mutations that are more harmful and dangerous than present variants. This is false since there's no evidence to suggest this claim according to the fact-checking done by Reuters.  
[https://www.reuters.com/article/factcheck-vaccine-variants-idUSL2N2NL1M2]",Account has various identifiable pictures,420,280,197,-319,None,None,COVID ITSELF,YES; Other Conspiracy,None,None,,
27-89,4/17/2023 2:32:57,https://twitter.com/iamjeangrey/status/1478596470559617028?s=20,27,"Inukai, Masayuki",HLTH,"COVID-19 vaccines are not effective, can cause infections and/or death","COVID, bakuna, deadly","@iamjeangrey
","♡Nadiuuh🇺🇸
","God, Family & Country/ I love Jesus & America/ Proud American Patriot 🇺🇸 / #MAGA / English is my second language. Married- NO DM’s pls 🙏🏽",Identified,Jun-11,3622,3036,USA,None,Expectation: Getting Covid Vaccines will spare you from hospitalization and death. Reality:,,Image,05/01/2022 13:17,,Rational,16,2,13,2,,MISLEADING,"Despite the reports from CDC that COVID vaccines can cause death, it's only 0.0029% of the total vaccines administered from December 14, 2020, through March 1, 2023. This post misleads the viewers into not getting vaccinated by implying that the reality of getting vaccinated is that it will lead you to death 

[https://www.cdc.gov/coronavirus/2019-ncov/vaccines/safety/adverse-events.html]",Account has various identifiable pictures,530,390,307,-209,None,None,DEATH,YES; Vaccine Trials,None,None,,
27-90,17/04/2023 2:45,https://twitter.com/iamjeangrey/status/1442517284463906818?s=20,27,"Inukai, Masayuki",HLTH,"COVID-19 vaccines are not effective, can cause infections and/or death","COVID, bakuna, deadly","@iamjeangrey
","♡Nadiuuh🇺🇸
","God, Family & Country/ I love Jesus & America/ Proud American Patriot 🇺🇸 / #MAGA / English is my second language. Married- NO DM’s pls 🙏🏽",Identified,Jun-11,3622,3036,USA,Economic,"If covid vaccines really work then why does the top vaccinated countries (Israel, singapore, UK)  having the highest covid cases?",,Text,27/09/2021 23:51,,Emotional,9,0,0,0,,MISLEADING,"The tweet misleads by pointing out that the top vacccinated countries also have the highest number of cases where in fact, it being fully-vaccinated doesn't mean you'll no longer get the virus. In fact, it is still possible for you to get positive although you'll only experience mild symptoms. 

[https://www.houstonmethodist.org/blog/articles/2021/aug/5-things-vaccinated-people-need-to-know-about-breakthrough-infection/#:~:text=In%20most%20cases%2C%20fully%20vaccinated,or%20experience%20only%20mild%20symptoms.]","Despite the account's location is in the US, it still has a following in the Philippines",430,290,207,-309,None,None,COVID ITSELF,YES; Vaccine Trials,None,None,,
27-91,17/04/2023 2:53,https://twitter.com/iamjeangrey/status/1518823581878464512?s=20,27,"Inukai, Masayuki",HLTH,"COVID-19 vaccines are not effective, can cause infections and/or death","COVID, bakuna, deadly","@iamjeangrey
","♡Nadiuuh🇺🇸
","God, Family & Country/ I love Jesus & America/ Proud American Patriot 🇺🇸 / #MAGA / English is my second language. Married- NO DM’s pls 🙏🏽",Identified,Jun-11,3622,3036,USA,None,"Twitter test 1,2,3. Vaccines and masking don’t work to stop covid 19.",,Text,26/04/2022 13:25,,Emotional,6,3,0,0,,FALSE,"Despite varying efficacy rates, all COVID-19 vaccine, in essence, are effective and will protect people against the virus.

[https://www.rappler.com/newsbreak/iq/list-myths-covid-19-vaccines-debunked/]",,641,501,418,-98,None,None,INEFFICIENCY,YES; Vaccine Trials,None,None,,
27-92,17/04/2023 3:16,https://twitter.com/juandel40496920/status/1436528509413826564?s=20,27,"Inukai, Masayuki",HLTH,"COVID-19 vaccines are not effective, can cause infections and/or death","COVID, bakuna, die",@juandel40496920,philpatriot,None,Anonymous,Oct-20,122,6,Philippines,Economic,"Vaccinated 100 times more likely to die from COVID-19 vaccine, experts study finds who are being censored by gov’t & the mainstream media!",,Reply,11/09/2021 11:14,,Emotional,0,0,0,0,,FAKE,"The tweet changed the wordings of a news report fromthe New York Post which says ""Unvaccinated 11 times more likely to die from COVID-19, CDC study finds"" 

[https://twitter.com/nypost/status/1436419701933023256?s=20]",,414,274,191,-325,None,None,DEATH,YES; Vaccine Trials,None,None,,
27-93,17/04/2023 3:23,https://twitter.com/juandel40496920/status/1427054676302655488?s=20,27,"Inukai, Masayuki",HLTH,"COVID-19 vaccines are not effective, can cause infections and/or death","COVID, vaccine, death",@juandel40496920,philpatriot,None,Anonymous,Oct-20,122,6,Philippines,None,"Proof that the vaccine is inefficient to fight the virus. Worst, it will lead to death because any covid vaccine is lethal accdg from the true experts being censored. Careful observation must be done to all those already vaccinated since highly adverse effects is possible.",,Reply,16/08/2021 7:48,,Emotional,1,0,0,0,,FALSE,"This tweet is a reply to a news report saying that Isko Moreno got positive from COVID which the account holder used as proof to state that COVID vaccines are inefficient. This is a false statement since despite varying efficacy rates, all COVID-19 vaccine, in essence, are effective and will protect people against the virus.

[https://www.rappler.com/newsbreak/iq/list-myths-covid-19-vaccines-debunked/]""",,388,248,165,-351,None,None,INEFFICIENCY,YES; Vaccine Trials,None,None,,
27-94,17/04/2023 3:33,https://twitter.com/juandel40496920/status/1362581160828624896?s=20,27,"Inukai, Masayuki",HLTH,"COVID-19 vaccines are not effective, can cause infections and/or death","COVID-19, vaccine, nagpositibo",@juandel40496920,philpatriot,None,Anonymous,Oct-20,122,6,Philippines,Health,"“OFW na nabakunahan na ng Covid-19 vaccine, nagpositibo sa sakit sa Mandaue City.” So why be vaccinated if it defeats the purpose. THIS IS A BIG QUESTION THAT MUST ANSWERED BY THE GOV’T ESP THOSE WHO AUTHORED THE VACCINE!!!",,Reply,19/02/2021 9:53,,Emotional,0,1,0,0,,MISLEADING,"This tweet misleads by pointing out that COVID-19 vaccines are ineffective since there's still a chance that you'll get positive where in fact, being fully-vaccinated doesn't mean you'll no longer get the virus. It is still possible for you to get positive although you'll only experience mild symptoms. 

[https://www.houstonmethodist.org/blog/articles/2021/aug/5-things-vaccinated-people-need-to-know-about-breakthrough-infection/#:~:text=In%20most%20cases%2C%20fully%20vaccinated,or%20experience%20only%20mild%20symptoms.]""",,210,70,-13,-529,None,None,INEFFICIENCY,YES; Vaccine Trials,None,None,,
27-95,17/04/2023 3:41,https://twitter.com/BongPhillips555/status/1342154698296492032?s=20,27,"Inukai, Masayuki",HLTH,"COVID-19 vaccines are not effective, can cause infections and/or death","COVID, vaccine","@BongPhillips555
","EDWARD Phillips
",None,Identified,Jan-10,354,405,Philippines,Racial,"Ang mahal ng Sinovac, tapos 50% lang efficacy?

Bakit ipinipilit ng gobyernong ito ang mahal na vaccine ng hindi masyadong effective to prevent COVID 19?

Me porsyentuhan ba yung nagpupush?","Sinovac is expensive, but only 50% effective?

Why is this government insisting on an expensive vaccine that is not very effective to prevent COVID 19?

Is it the percentage that pushes?",Text,25/12/2020 1:06,,Emotional,1,1,0,0,,FALSE,"Despite Sinovac having a 51% efficacy againt SARS-CoV-2 infection, it has an efficacy of 100% against severe COVID-19, and 100% against hospitalization. Hence, the tweet is false since it claims that it's not very effective against the virus.

[https://www.who.int/news-room/feature-stories/detail/the-sinovac-covid-19-vaccine-what-you-need-to-know]",,154,14,-69,-585,Sinovac/CoronaVac,None,INEFFICIENCY,YES; Vaccine Trials,None,None,,
27-96,17/04/2023 3:50,https://twitter.com/JonBFer/status/1424549996024586246?s=20,27,"Inukai, Masayuki",HLTH,"COVID-19 vaccines are not effective, can cause infections and/or death","Sinovac, COVID","@JonBFer
",JoBFer,Old soul. Loves life and what it has to offer.,Identified,Jun-19,111,276,NCR,None,"hindi nga makakamit herd immunity kung puro sinovac tinuturok nyo kc nga di yan epektib. mga punyetah kayo.
",you can't achieve herd immunity if you only inject sinovac because that's not effective. you are punyetahs.,Text,09/08/2021 9:56,,Emotional,1,0,1,0,,FALSE,"Despite Sinovac having a 51% efficacy againt SARS-CoV-2 infection, it has an efficacy of 100% against severe COVID-19, and 100% against hospitalization. Hence, the tweet is false since it claims that it's not very effective against the virus.

[https://www.who.int/news-room/feature-stories/detail/the-sinovac-covid-19-vaccine-what-you-need-to-know]",,381,241,158,-358,Sinovac/CoronaVac,None,INEFFICIENCY,YES; Vaccine Trials,None,punyetah,,
27-97,17/04/2023 3:57,https://twitter.com/JonBFer/status/1420723591243386881?s=20,27,"Inukai, Masayuki",HLTH,"COVID-19 vaccines are not effective, can cause infections and/or death","Sinovac, COVID","@JonBFer
",JoBFer,Old soul. Loves life and what it has to offer.,Identified,Jun-19,111,276,NCR,Racial,putang inang sinovac yan. may na-ospital at namamatay pa din sa covid kahit completed sinovac na ipinipilit pa din. banned na nga sa iba bansa kc basura. hilig nyo @DOHgovph sa basura. basura kc kayo. nyeta.,that sinovac mother whore. someone is hospitalized and still dying of covid even though they have completed sinovac which is still being pushed. It's already banned in other countries because it's garbage. you @DOHgovph like trash. you are garbage daughter-in-law,Reply,29/07/2021 20:31,,Emotional,3,0,0,0,,MISLEADING,"This tweet misleads by stating that Sinovac vaccines are trash since it still leads to people getitng hospitalized and even death. 

In fact, Sinovac Vaccine Trials show that they are effective against COVID-19, with 51% efficacy against symptomatic SARS-CoV-2 infection, 100% against severe COVID-19, and 100% against hospitalization.

[https://www.who.int/news-room/feature-stories/detail/the-sinovac-covid-19-vaccine-what-you-need-to-know]

In addition, it is a proven fact that while COVID-19 vaccines have side effects, they are only short term and are not dangerous enough to cause death.

[https://www.hopkinsmedicine.org/health/conditions-and-diseases/coronavirus/covid-19-vaccines-myth-versus-fact]

And even when there reported deaths from COVID-19, it's only 0.0029% of the total vaccines administered from December 14, 2020, through March 1, 2023.

[https://www.cdc.gov/coronavirus/2019-ncov/vaccines/safety/adverse-events.html]",,370,230,147,-369,Sinovac/CoronaVac,None,"DEATH, INEFFICIENCY",YES; Vaccine Trials,None,putang inang,,
27-98,17/04/2023 4:13,https://twitter.com/WillyDamian12/status/1483940113625145348?s=20,27,"Inukai, Masayuki",HLTH,"COVID-19 vaccines are not effective, can cause infections and/or death","COVID, vaccine",@WillyDamian12,WillyDamian,None,Identified,Nov-21,2,0,Philippines,None,"Bkt  takot na takot kau sa COVID    e ung maholdap ka   patayin ka hnd kau takot jn mga ungas  kht me vaccine mamamatay dn   b ka pagkabas mo sa bhay  bgla kng sinaksak o  d patay ka  ano ngaun Ang nagawa ng vaccine  wla  dba  ingot
",,Text,20/01/2022 7:11,,Emotional,0,0,0,0,,INACCURATE,"Despite the reports from CDC that COVID vaccines can cause death, it's only 0.0029% of the total vaccines administered from December 14, 2020, through March 1, 2023. Hence, it's inaccurate to say that vaccines are ineffective and it causes death.

[https://www.cdc.gov/coronavirus/2019-ncov/vaccines/safety/adverse-events.html]",,545,405,322,-194,None,None,DEATH,YES; Vaccine Trials,None,ungas,,
27-99,17/04/2023 4:20,https://twitter.com/JunSandoval5/status/1407683717338959872?s=20,27,"Inukai, Masayuki",HLTH,"COVID-19 vaccines are not effective, can cause infections and/or death","COVID, vaccine",@JunSandoval5,John Makabayan,Love My Country,Identified,Apr-20,1652,687,"Carol Stream, Illinois",Socio-political,"Ganyan ang SINOVAC. Bakit ka magpapaturok niyan kung ineffective naman. Hindi pa din alam ang long term side effects ng vaccine na iyan. May ulol tayong Presidente na bumili ng mas mahal na bakuna, pero alam ng mga mamamayan na sablay. Iturok iyan sa lahat ng mga DDS.
","SINOVAC is like that. Why would you inject that if it is ineffective? The long term side effects of that vaccine are not yet known. We have a crazy President who bought a more expensive vaccine, but the people know it's a mistake. Inject that into all DDSs.
",Reply,23/06/2021 20:55,,Emotional,6,0,0,0,,FALSE,"Despite Sinovac having a 51% efficacy againt SARS-CoV-2 infection, it has an efficacy of 100% against severe COVID-19, and 100% against hospitalization. Hence, the tweet is false since it claims that it's not very effective against the virus.

[https://www.who.int/news-room/feature-stories/detail/the-sinovac-covid-19-vaccine-what-you-need-to-know]",,334,194,111,-405,Sinovac/CoronaVac,None,INEFFICIENCY,YES; Vaccine Trials,DDS,Ulol,,
27-100,17/04/2023 4:57,https://twitter.com/Mustang0020/status/1594725369705529345?s=20,27,"Inukai, Masayuki",HLTH,"COVID-19 vaccines are not effective, can cause infections and/or death","COVID, vaccine","@Mustang0020
",Blackwell,None,Anonymous,May-21,45,129,Philippines,Socio-political,Kung ineexpect mo pala na may mamamatay sa covid 19 vaccines. Anong kwenta nyang info mo sa dengvaxia? Parehong bakuna. Parehong may reports na namatay! At galing pa sa CDC yan ha! Hindi CONSPIRACY WEBSITE!,If you expect someone to die from covid 19 vaccines. What is the use of your information on dengvaxia? Both vaccines. Both are reported to have died! And that's from the CDC! Not a CONSPIRACY WEBSITE!,Reply,22/11/2022 0:12,,Emotional,0,2,0,0,,INACCURATE,"Despite Sinovac having a 51% efficacy againt SARS-CoV-2 infection, it has an efficacy of 100% against severe COVID-19, and 100% against hospitalization. Hence, the tweet is false since it claims that it's not very effective against the virus.

[https://www.who.int/news-room/feature-stories/detail/the-sinovac-covid-19-vaccine-what-you-need-to-know]",This tweet is part of the same thread as 27-45,851,711,628,112,None,Dengvaxia,DEATH,YES; Vaccine Trials,None,None,,
27-101,17/04/2023 5:07,https://twitter.com/itsleonorrivera/status/1381200879982768128?s=20,27,"Inukai, Masayuki",HLTH,"COVID-19 vaccines are not effective, can cause infections and/or death","COVID, bakuna, not effective",@itsleonorrivera,"Leonor Rivera 👑
",Name sake ng first love ni Gat Jose Rizal | Quiet in person | Outspoken sa Twitter | Microblogging my random thoughts | I block TROLLS 👻,Identified,Apr-21,984,1426,Philippines,Racial,"Sinovac is not an effective vaccine. The Chinese manufacturers even suggest to mix it with other available vaccines out there. Google ninyo pa latest findings. Sana naman, last order ninyo na yan! Ay oo nga pala, karamihan nga pala ng bakuna natin, puro nga lang pala donations.",,Video,11/04/2021 19:02,,Emotional,1,0,1,0,,FALSE,"Despite Sinovac having a 51% efficacy againt SARS-CoV-2 infection, it has an efficacy of 100% against severe COVID-19, and 100% against hospitalization. Hence, the tweet is false since it claims that it's not very effective against the virus.

[https://www.who.int/news-room/feature-stories/detail/the-sinovac-covid-19-vaccine-what-you-need-to-know]",,261,121,38,-478,Sinovac/CoronaVac,None,INEFFICIENCY,YES; Vaccine Trials,China,None,,
